Date,Open,High,Low,Close
"Tuesday, February 20, 2018",1543.27,1569.03,1414.35,1418.73
"Monday, February 19, 2018",1483.34,1553.81,1483.34,1534.77
"Sunday, February 18, 2018",1552.1,1641.4,1428.49,1487.46
"Saturday, February 17, 2018",1548.48,1568.64,1517.14,1551.39
"Friday, February 16, 2018",1373.16,1558.66,1369.68,1552.2
"Thursday, February 15, 2018",1358.65,1400.71,1330.18,1375.81
"Wednesday, February 14, 2018",1229.18,1384.06,1229.18,1362.27
"Tuesday, February 13, 2018",1285.23,1289.42,1205.73,1231.98
"Monday, February 12, 2018",1222.43,1302.66,1222.43,1283.91
"Sunday, February 11, 2018",1255.59,1306.2,1197.87,1217.64
"Saturday, February 10, 2018",1311.99,1394.81,1215.72,1257.31
"Friday, February 9, 2018",1273.87,1342.41,1206.39,1312.11
"Thursday, February 8, 2018",951.57,1345.2,951.57,1284.56
"Wednesday, February 7, 2018",971.08,1040.49,902.49,957.96
"Tuesday, February 6, 2018",890.97,978.91,764.02,974.52
"Monday, February 5, 2018",1159.89,1172.7,839.95,887.41
"Sunday, February 4, 2018",1273.17,1286.98,1101.31,1165.38
"Saturday, February 3, 2018",1194.23,1314.43,1072.83,1272.5
"Friday, February 2, 2018",1272.5,1272.5,980.78,1191.14
"Thursday, February 1, 2018",1491.12,1503.3,1214.88,1274.35
"Wednesday, January 31, 2018",1470.74,1522.87,1406.25,1486.89
"Tuesday, January 30, 2018",1657.69,1662.07,1468.17,1470.55
"Monday, January 29, 2018",1745.36,1763.24,1638.33,1657.14
"Sunday, January 28, 2018",1636.41,1762.34,1636.41,1746.25
"Saturday, January 27, 2018",1602.5,1665.81,1567.78,1628.63
"Friday, January 26, 2018",1637.19,1678.63,1500.37,1603.9
"Thursday, January 25, 2018",1661.04,1707.7,1611.04,1642.12
"Wednesday, January 24, 2018",1622.15,1703.34,1575.42,1639.13
"Tuesday, January 23, 2018",1623.14,1700.34,1504.72,1621.46
"Monday, January 22, 2018",1794.46,1815.42,1525.5,1621.92
"Sunday, January 21, 2018",2033.7,2033.7,1733.99,1776.64
"Saturday, January 20, 2018",1784.26,2124.45,1780.45,2032.12
"Friday, January 19, 2018",1740.17,1870.78,1723.87,1769.62
"Thursday, January 18, 2018",1752.27,1893.47,1696.25,1756.75
"Wednesday, January 17, 2018",1767.58,1875.08,1361.02,1748.05
"Tuesday, January 16, 2018",2406.86,2406.86,1555.97,1772.07
"Monday, January 15, 2018",2541.58,2576.13,2328.31,2401.54
"Sunday, January 14, 2018",2687.1,2746.61,2490.04,2553.32
"Saturday, January 13, 2018",2617.66,2850.27,2589.03,2685.29
"Friday, January 12, 2018",2475.9,2648.23,2413.33,2620.99
"Thursday, January 11, 2018",2891.55,2976.49,2396.84,2462.61
"Wednesday, January 10, 2018",2390.02,2961.2,2332.48,2895.38
"Tuesday, January 9, 2018",2412.36,2502.87,2346.68,2391.56
"Monday, January 8, 2018",2786.6,2810.32,2275.07,2421.47
"Sunday, January 7, 2018",2784.68,3071.16,2730.31,2786.88
"Saturday, January 6, 2018",2583.71,2829.69,2481.36,2786.65
"Friday, January 5, 2018",2400.74,2648.32,2370.59,2584.48
"Thursday, January 4, 2018",2608.87,2610.2,2359.3,2430.18
"Wednesday, January 3, 2018",2700.55,2958.47,2592.56,2608.69
"Tuesday, January 2, 2018",2434.5,2867.14,2434.5,2711
"Monday, January 1, 2018",2534.82,2534.86,2389.52,2432.54
"Sunday, December 31, 2017",2376.96,2627.95,2350.03,2533.01
"Saturday, December 30, 2017",2791.55,2791.55,2329.47,2392.41
"Friday, December 29, 2017",2587.3,2922.41,2389.04,2779.95
"Thursday, December 28, 2017",2888.64,2896.78,2481.3,2566.64
"Wednesday, December 27, 2017",3108.32,3108.32,2771.05,2889.52
"Tuesday, December 26, 2017",2947.74,3112.64,2915.8,3108.89
"Monday, December 25, 2017",2929.35,3099.62,2755.6,2954.69
"Sunday, December 24, 2017",3260.55,3260.55,2573.44,2903.12
"Saturday, December 23, 2017",2746.95,3479.71,2684.82,3257.08
"Friday, December 22, 2017",3324,3369.55,1938.36,2696.69
"Thursday, December 21, 2017",3909,3909,3038.01,3267.17
"Wednesday, December 20, 2017",2825.03,4355.62,2825.03,3923.07
"Tuesday, December 19, 2017",2199.06,2918.93,2160.92,2805.89
"Monday, December 18, 2017",1869.21,2353.64,1799.12,2196.64
"Sunday, December 17, 2017",1812.33,1939.93,1806.65,1862.88
"Saturday, December 16, 2017",1824.85,1890.06,1769.5,1801.88
"Friday, December 15, 2017",1974.66,1974.66,1678.06,1815.43
"Thursday, December 14, 2017",1600.67,2080.41,1593.15,1966.14
"Wednesday, December 13, 2017",1616.99,1702.53,1497.94,1607.65
"Tuesday, December 12, 2017",1427.38,1638.29,1427.38,1615.03
"Monday, December 11, 2017",1320,1453.49,1316.85,1423.38
"Sunday, December 10, 2017",1411.84,1411.84,1226.21,1323.07
"Saturday, December 9, 2017",1464.63,1526.4,1353.9,1410.06
"Friday, December 8, 2017",1329.16,1731.32,1247.93,1464.13
"Thursday, December 7, 2017",1430.71,1454.73,1323.75,1330.93
"Wednesday, December 6, 2017",1498.49,1530.65,1396.16,1430.1
"Tuesday, December 5, 2017",1580.16,1623.16,1498,1501.85
"Monday, December 4, 2017",1560.16,1580.11,1498.98,1576.92
"Sunday, December 3, 2017",1435.36,1649.3,1420.6,1559.93
"Saturday, December 2, 2017",1462.06,1502.37,1415.49,1434.98
"Friday, December 1, 2017",1381.81,1482.68,1300.46,1462.68
"Thursday, November 30, 2017",1380.36,1468.75,1222.1,1389.78
"Wednesday, November 29, 2017",1541.63,1673.23,1332.14,1359.71
"Tuesday, November 28, 2017",1621.17,1629.48,1543.08,1546.18
"Monday, November 27, 2017",1722.93,1742.4,1607.79,1622.57
"Sunday, November 26, 2017",1571.39,1758.61,1563.35,1735.66
"Saturday, November 25, 2017",1634,1656.55,1535.77,1571.27
"Friday, November 24, 2017",1651.86,1782.83,1575.76,1648.51
"Thursday, November 23, 2017",1302.23,1683.81,1299.95,1683.81
"Wednesday, November 22, 2017",1175.06,1335.25,1171.6,1303.31
"Tuesday, November 21, 2017",1220.78,1224.15,1140.88,1176.97
"Monday, November 20, 2017",1172.43,1236.01,1167.28,1236.01
"Sunday, November 19, 2017",1260.95,1262.34,1144.08,1172.05
"Saturday, November 18, 2017",1197.43,1388.11,1197.43,1254.53
"Friday, November 17, 2017",909.16,1217.42,863.98,1185.48
"Thursday, November 16, 2017",1202.17,1210.36,876.57,900.78
"Wednesday, November 15, 2017",1269.79,1326.39,1191.98,1212.4
"Tuesday, November 14, 2017",1346.73,1390.21,1211.39,1273.53
"Monday, November 13, 2017",1381.82,1501.16,1043,1353.99
"Sunday, November 12, 2017",1346.97,2477.65,1215.58,1388.86
"Saturday, November 11, 2017",1001.64,1403.66,910.72,1340.45
"Friday, November 10, 2017",651.77,1034.77,651.77,1007.42
"Thursday, November 9, 2017",622.31,670.14,619.26,654.3
"Wednesday, November 8, 2017",615.24,646.38,565.6,622.46
"Tuesday, November 7, 2017",602.68,626.21,602.45,616.3
"Monday, November 6, 2017",630.31,657.34,602.65,602.65
"Sunday, November 5, 2017",619.91,635.72,579.13,630.7
"Saturday, November 4, 2017",635.35,642.05,571.12,620.45
"Friday, November 3, 2017",587.32,684.53,577.86,625.32
"Thursday, November 2, 2017",527.68,610.39,514.52,587.22
"Wednesday, November 1, 2017",438.3,538.26,437.91,531.83
"Tuesday, October 31, 2017",449.37,454.07,431.76,439.05
"Monday, October 30, 2017",458.45,478.42,417.62,448.23
"Sunday, October 29, 2017",420.47,526.12,408.4,451.92
"Saturday, October 28, 2017",369.54,425.44,369.06,423.35
"Friday, October 27, 2017",338.3,372.81,338.24,367.57
