Date,Open,High,Low,Close
4/27/19,5140.38,5140.38,5140.38,5140.38
4/26/19,5138.43,5290.47,5046.15,5140.38
4/25/19,5445.16,5515.4,4976.13,5138.43
4/24/19,5538.25,5624.58,5376.53,5445.16
4/23/19,5390,5643.97,5366.89,5538.25
4/22/19,5296.26,5439.99,5256.77,5390
4/21/19,5321.31,5342.23,5215.53,5296.26
4/20/19,5286.63,5358.02,5265.78,5321.31
4/19/19,5283.73,5358.64,5197.38,5286.63
4/18/19,5246.1,5315.48,5226.96,5283.73
4/17/19,5203.65,5271.87,5177.37,5246.1
4/16/19,5036.86,5230,5022.84,5203.65
4/15/19,5161.51,5190,4950,5036.86
4/14/19,5069.48,5187.94,5017,5161.51
4/13/19,5091.58,5141.74,5038.09,5069.48
4/12/19,5044.68,5117.05,4903.64,5091.58
4/11/19,5319.55,5347.07,4970.51,5044.68
4/10/19,5194.98,5471.14,5166.42,5319.55
4/9/19,5287.88,5287.89,5147.16,5194.98
4/8/19,5196.02,5350,5132.26,5287.88
4/7/19,5044.56,5266.74,5029.23,5196.02
4/6/19,5041,5239.4,4892.5,5044.56
4/5/19,4907.68,5067.41,4887.05,5041
4/4/19,4976.94,5072.57,4782.47,4907.68
4/3/19,4903.3,5346.68,4800,4976.94
4/2/19,4136.54,5090.62,4131.25,4903.3
4/1/19,4095.01,4147.99,4052.49,4136.54
3/31/19,4094.03,4102.91,4076.62,4095.01
3/30/19,4082.72,4129.49,4037.28,4094.03
3/29/19,4012.81,4098.04,4007.71,4082.72
3/28/19,4027.35,4027.35,3995,4012.81
3/27/19,3919.99,4034,3914.95,4027.35
3/26/19,3908.7,3921.73,3882.92,3919.99
3/25/19,3971.53,4034.13,3858.55,3908.7
3/24/19,3982.45,3982.45,3947,3971.53
3/23/19,3986.67,4000.5,3961.01,3982.45
3/22/19,3975.01,3999.73,3963.88,3986.67
3/21/19,4032,4059.37,3915.09,3975.01
3/20/19,4001.3,4048.85,3963.72,4032
3/19/19,3969.99,4012.69,3951.66,4001.3
3/18/19,3965.45,4015.85,3936.36,3969.99
3/17/19,3990,3992.42,3930.06,3965.45
3/16/19,3901,4037.02,3899,3990
3/15/19,3855.87,3907.11,3847.95,3901
3/14/19,3850.96,3900,3785,3855.87
3/13/19,3862.12,3869.99,3826,3850.96
3/12/19,3851.15,3876.22,3800,3862.12
3/11/19,3899.07,3910.46,3815.06,3851.15
3/10/19,3917.49,3918.35,3870,3899.07
3/9/19,3842,3947.88,3835.35,3917.49
3/8/19,3855.26,3910,3771.78,3842
3/7/19,3850.46,3889.72,3829.54,3855.26
3/6/19,3845.73,3893.29,3811.16,3850.46
3/5/19,3700.82,3876.59,3695,3845.73
3/4/19,3789.61,3805.46,3675,3700.82
3/3/19,3812.45,3818.52,3761.95,3789.61
3/2/19,3808.12,3818.31,3761.02,3812.45
3/1/19,3791.49,3843.78,3791.49,3808.12
2/28/19,3800,3912.16,3752.05,3791.49
2/27/19,3799.99,3820.28,3650.8,3800
2/26/19,3820.26,3828.12,3764.95,3799.99
2/25/19,3732.48,3859.17,3732.48,3820.26
2/24/19,4110.99,4186.99,3715.51,3732.48
2/23/19,3946.56,4153.01,3914.25,4110.99
2/22/19,3901.59,3954.99,3885.12,3946.56
2/21/19,3941.16,3987,3870,3901.59
2/20/19,3892.03,3966.67,3865.02,3941.16
2/19/19,3866.99,3971.46,3844.37,3892.03
2/18/19,3626.7,3912.51,3618.09,3866.99
2/17/19,3582.3,3675.87,3557.38,3626.7
2/16/19,3567.12,3606.92,3567.12,3582.3
2/15/19,3562.29,3615.79,3544.95,3567.12
2/14/19,3576.48,3657,3537,3562.29
2/13/19,3588.61,3627.79,3561.22,3576.48
2/12/19,3588.58,3618.56,3550.1,3588.61
2/11/19,3647.21,3649.99,3578.01,3588.58
2/10/19,3624.11,3655.04,3580.17,3647.21
2/9/19,3622.59,3638.94,3595.01,3624.11
2/8/19,3359.99,3711.26,3343.84,3622.59
2/7/19,3366.83,3380,3352.29,3359.99
2/6/19,3429.98,3445.22,3331.44,3366.83
2/5/19,3411.47,3430,3401.84,3429.98
2/4/19,3415.99,3435,3397,3411.47
2/3/19,3469.06,3471.42,3390,3415.99
